town,apartments_condos_multis_per_residential_parcels_2011,assessed_home_value_changes_2009-2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,education_spending_as_a_percent_2012,education_spending_per_resident_2012,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2020_biden_margin,population,growth
North Adams,0.283,-0.064,9.4,108,,10.1,323,14.7,0.011,130.1,39,42.3,1200,2024,53,3.32,67,17.5,73.5,19.7,0,61.3,6.1,2.15,37.3,8.7,9.9,14479,-0.01,2.3,27,39,35,15.9,-0.123,18.7,18.7,94,23.9,4.7,-0.36,-0.006,29,434,0.223,14912,77.5,4.4,-0.042,41.8,69.7,46.1,0.971,20.8,79.2,66657,0.31,294,70.5,9112,0.05,33.9,5932,44,3199,negative
North Andover,0.282,-0.047,10.5,70.2,18.2,8.5,453.6,22,0.196,82.9,29,55.5,1312,2365,52.3,6.44,152,6.5,34.2,4.9,6.5,16.8,5.6,2.62,25.6,18.5,5,47602,-0.06,0.5,12.7,39.9,71.6,19.3,-0.187,12.4,25.6,141,16.8,6,2.34,0.008,171,,0.112,11603,87,16.4,0.035,45.1,0.4,9.5,0.84,9.1,90.9,65381,0.38,296,,18968,0.63,23.5,18012,25,7091,medium
North Attleborough,0.221,-0.108,11.6,120.2,,9.3,456.3,19.3,0.116,88.4,33,50.9,1259,2473,51.3,4.99,124,16.8,52.8,5.2,6.1,19.9,5.9,2.61,24.9,13.4,4.7,32125,-0.04,0.5,13.6,38.4,70.7,12.8,0.161,22.4,31.1,139,18,5.6,1.36,0.001,36,,0.16,10139,79,20.6,-0.012,30.2,1,27.2,0.902,5.9,94.1,66698,0.33,341,,19326,0.96,21,17191,16,8123,medium
North Brookfield,0.151,-0.154,9,391,63.9,10.4,422,16.4,0.018,60.3,23,49.1,1193,2250,50.9,1.04,23,20,132.3,6.4,40.2,45.8,6.3,2.51,25.3,12.2,6,23491,0.03,0,17.1,40.7,69.3,9.3,0.213,36.5,48.3,86,,3.8,0.36,0.003,7,97,0.155,12295,91.9,22.2,-0.109,43.2,151.2,36.5,0.946,11.5,88.5,61514,0.34,370,33.8,3290,0.46,20.6,2715,-10,1126,small
North Reading,0.157,-0.077,10.1,122.9,18.6,9.5,450.4,21.6,0.131,58.5,33,51.5,1662,3229,50.8,5.22,169,17.5,68.8,1.3,2.8,8.5,5.1,2.71,21.8,17.3,8.9,46884,0.01,0.4,12.8,40.6,75.2,7.8,0.025,24.7,33.3,225,19.4,7,2.38,0.01,47,97,0.229,12498,87.1,18.9,-0.067,35.6,0,14.4,0.917,6.8,93.2,65121,0.39,364,9.9,10972,0.7,25.3,9930,15,4106,small
Northampton,0.327,-0.029,7,161.1,53.3,9.9,469.9,17.3,0.137,113.3,56,40.3,1043,2490,56.9,4.37,109,20.8,42.3,4.6,8.2,46.5,6.9,2.12,37.2,32.7,6.8,26503,-0.06,0.9,33.3,38.6,47.1,29.6,-0.074,15,15.3,166,23.7,6.7,-0.02,-0.002,769,300,0.207,12528,80,5.9,-0.013,27.5,40.3,16.9,0.856,22.4,77.6,57173,0.26,232,40,20800,0.1,49.6,17925,77,6500,small
Northborough,0.172,-0.086,8.5,156.1,21.8,8.7,496,18.1,0.122,116.4,59,61.9,1992,3066,50.9,2.71,83,13,50.1,0,5,11,7.2,2.73,19.2,27.3,5.2,47888,0.07,0.3,18.4,40.4,76.7,20.2,0.197,19.4,29.4,147,19,4.8,3.53,0.003,110,126,0.07,12636,74.6,23,-0.002,41.7,13.4,9.2,0.937,5.2,94.8,75430,0.45,352,11.2,10717,0.84,22.2,9687,37,3107,large
Northbridge,0.286,-0.142,11.3,,42.5,9.5,436.9,19.5,0.135,61.4,7,41.4,1374,3319,51.8,1.34,44,13.7,69,3.2,7.3,35.8,4.9,2.62,24.7,16.1,6.7,27666,-0.03,0.7,13.4,38.3,83.7,10,0.38,27.8,31.9,133,13.9,4,0.5,0.003,22,282,0.053,11129,86.5,20.4,0.027,38.6,28.6,40.4,0.892,9.5,90.5,63123,0.47,324,20.1,10489,0.59,21.4,9228,5,4653,small
Northfield,0.062,-0.051,8.9,254,39.4,10.4,452.2,,0,63.7,51,66.3,1356,1872,50.6,1.41,26,6.2,129.8,16.5,24.5,44.9,5.8,2.45,24.6,20.8,8.3,24769,-0.06,1,16.5,47,75.6,,0.131,31.3,21.2,77,9.8,4.1,0.35,0.003,10,137,0.046,,67,18.8,,39.4,282.7,4.7,0.924,10.2,89.8,,,393,3.3,2153,0.3,23.3,1855,33,709,negative
Norton,0.226,-0.14,7.8,174.5,28.9,9.3,432.8,20.6,0.167,76.5,19,50.8,1233,2392,51.7,6.1,146,20.4,59.8,1.6,5.4,9.8,4,2.69,21.6,16.1,3.8,31234,0.08,0.5,16.3,39.2,87.7,7.4,0.285,26.8,37.6,122,15.1,5.1,3.32,0.001,55,67,0.176,12411,83.9,29.3,-0.088,37.9,3.7,27.3,0.907,14.9,85.1,69812,0.39,322,4.7,12039,1.18,22.1,10974,11,4504,small
Norwell,0.042,-0.122,7.6,334.1,56.8,9,419.4,20.8,0.032,108.8,57,49.4,1893,3829,52.1,4.64,178,17.2,52.6,3.8,0.8,10.1,3.5,2.89,17.1,23.5,9,64495,-0.13,0.2,14.3,43,85.7,5.3,0.151,17.4,31.2,200,27.4,5.2,3.18,0.005,50,94,0.203,12074,84.4,32.8,0.002,51.9,6.6,10,0.944,7.2,92.8,72499,0.42,414,8.4,7788,0.43,22.4,7386,19,2136,medium
Norwood,0.255,-0.054,13.4,68.5,29.2,9,480.6,18.1,0.108,95.1,77,42.2,1557,3424,52.1,5.33,182,14.6,34.2,0.7,4.2,28.9,8.1,2.37,31.3,18.7,9.1,32915,0.07,0.5,17.8,41.8,54.5,25.7,-0.118,11.5,26.5,200,23.3,5.8,0.72,0.007,88,176,0.234,13497,69.7,16.4,0.031,40.7,1.4,5.7,0.875,5,95,66222,0.41,297,9.6,20723,0.18,34.3,17453,31,7872,large
Oak Bluffs,0.052,-0.139,10.4,812.9,65.4,13.7,524,13.8,0.016,61.6,95,39,1999,5124,50.9,0.87,45,15.3,71.5,15.5,8.6,31.1,9,2.24,35.1,16.9,6,16814,-0.23,0.9,72.9,41.9,62.7,26.6,0.033,41.7,22.6,382,,7.5,1.98,0.014,85,317,0.099,19437,92.8,78.9,-0.077,42.8,2.2,6.8,0.985,9.6,90.4,78222,0.32,624,30.2,3483,1.23,34.8,3209,53,1174,large
Oakham,0.031,-0.137,7.4,536.3,,10.2,454.3,,0.002,13.1,31,61,903,1447,49.8,1.89,27,4.6,234.7,5.3,30.9,18.4,5.6,2.77,15,20,3.2,28228,-0.11,0,21,44.2,109.9,,0.429,42.1,24.8,94,,6.5,3.18,0.004,4,104,0.239,,93.1,40.5,,30.1,403.4,7.3,0.917,10.8,89.2,,,457,5.2,1365,1,16.4,1257,-9,549,negative
Orange,0.11,-0.171,10,290.9,141.1,11.1,409.9,17.6,0.015,55.2,26,55.5,1203,2169,51.4,5.63,122,18.8,111.4,1.3,18.3,36.2,3.6,2.46,28.8,15.3,5.6,15999,-0.08,2.2,23,40.8,63.1,11.3,0.153,29.9,36.3,110,15.2,5.1,0.33,0.003,37,,0.215,11352,85.1,19.8,-0.185,44.2,73.8,36.2,0.968,9.7,90.3,55663,0.23,348,,4815,0.25,21.5,3800,8,2125,negative
Orleans,0.165,-0.091,3.9,2370.1,158,10.8,560.6,15.8,0.123,110.7,291,29.9,1313,3979,52.9,8.78,350,14,98.7,6.8,8.7,18.6,2.2,1.97,37.5,28.7,1.6,36674,-0.2,0.3,61.1,62.4,54.1,10.9,0.107,21.1,16.9,378,48.9,9.5,2.35,-0.001,164,300,0.136,21458,92.1,77.1,0.096,62.1,0,1.5,0.989,6.2,93.8,63144,0.22,581,28.6,5429,0.33,24.9,4842,38,725,medium
Otis,0.007,,6.2,4261.8,,11.3,413.8,,0,84.4,83,52.9,1450,2743,49.1,1.02,28,6.7,168.5,0,22.5,21.3,2.4,2.28,23.7,16.3,8,24037,-0.16,0.6,43.4,50.5,86.1,,0.016,39.7,26.8,38,,1.4,3.49,-0.006,8,,,,93.6,16.7,,38.7,1098.6,3.1,0.91,5.1,94.9,,,509,,1132,0.85,24.2,1014,11,449,small
Oxford,0.182,-0.166,8.6,218.8,33.4,9.4,440.7,18.2,,127.9,29,50.3,1191,2350,51,,,19,86.1,3.6,9.8,22.4,4,2.59,25.7,13.4,4.9,25154,0.01,0.8,16.8,40.2,73.5,13.6,0.063,32.1,44.6,132,17.4,5.6,1.34,0.004,20,157,0.121,11955,79.5,22.2,-0.037,35.5,49.4,32.2,0.925,,91.7,60330,0.36,344,33.9,8932,0.58,26,7574,-2,3355,negative
Palmer,0.188,-0.097,9.7,315.5,48.6,10.7,487,18.1,0.037,160.5,71,57.4,1363,2199,50.2,,,20,122.3,2.5,14.1,34.7,4.3,2.37,29.8,9.2,12.5,22930,0.07,1.6,24.7,41.8,63.5,11,0.17,36.2,27.7,129,18,5.9,0.27,0.001,27,214,0.073,12541,82.9,16.6,-0.166,36.6,90.5,38.6,0.954,12.7,87.3,58531,0.32,386,38.3,8297,0.26,28.8,6503,-2,2932,small
Paxton,0.031,-0.167,7.7,193.5,24.9,9.5,391,,0.011,65.3,43,51.2,1104,2145,50,2.19,47,5.8,102.1,2.1,4.9,15.2,3.8,2.78,15.9,20.5,7.7,35191,-0.04,0,12.5,43.5,80.4,,-0.012,16.6,30.4,179,39.3,8.3,3.51,0.003,5,74,0.208,,94.7,17.5,,52,114.1,7.6,0.891,13.8,86.3,,,324,6.2,3161,0.24,23.9,2962,12,1012,small
Peabody,0.245,-0.086,9.5,87.6,41,9.2,470.9,19.2,0.143,87,61,44.5,1017,2264,52.5,6.35,144,7.9,38.9,3.5,4,24,6.5,2.38,31.4,11.5,9.8,26611,-0.01,1,15.6,44,53.2,19.5,-0.008,17.5,41.4,175,19.2,7.7,1.26,0.008,146,212,0.178,13029,76.6,20.5,-0.023,52.2,1.7,16.4,0.853,9.7,90.3,73091,0.35,299,23.2,35849,0.35,33.1,30090,14,13198,medium
Pembroke,0.12,-0.11,9.6,287,31.2,9.5,393.8,20.3,0.07,93.5,43,52,1476,2685,50.9,4.7,126,20.1,75.9,0.6,4.4,10.4,4.4,2.82,19.3,12,6.7,32469,0.03,0.8,16.3,40.4,83,3.1,0.039,28.3,42.2,152,16.2,5.7,5.92,0.005,32,,0.085,10484,86.7,33.4,-0.035,37.8,2.8,26.1,0.94,7.3,92.8,65965,0.47,400,,12699,0.89,23.8,11753,8,4556,small
Pepperell,0.139,-0.135,8.7,143.5,30.1,9.9,472,,0.063,87.4,40,62,994,1602,50.4,1.32,21,7.9,92.5,0.9,13.2,15.1,5.7,2.74,20.3,20.9,1.8,32346,0.02,0.8,6.1,40.6,88.3,,0.128,35.2,40.7,144,14.7,9,2.32,0.01,51,151,0.176,,93.9,20.4,,35.5,10.3,5.1,0.908,6.3,93.7,,,391,15.4,8202,1.12,20.5,7307,9,2788,small
Petersham,0.036,-0.114,8.1,356.6,,10.6,489.5,16.3,0,48.6,12,64.2,1726,2499,48.9,1.21,30,6.2,187.4,32.4,21.7,46.9,3.7,2.43,23.3,28.9,12.2,25220,-0.04,0.8,56.7,47.9,95.3,10.6,0.607,36.5,22.3,134,16.1,5.3,0.52,0.003,29,,0.157,13310,89.4,44.6,0.17,40.9,129.2,25.1,0.918,24.6,75.4,44340,0.45,424,,961,0.53,22.6,872,24,252,negative
Pittsfield,0.213,-0.059,11.4,227.8,103.2,9.6,393.7,16.6,0.033,123.9,35,42.5,1184,2188,52,5.05,111,24.3,64.4,4.7,8.9,41.2,8.9,2.22,35.3,13.3,9.8,21770,-0.08,4.3,27.3,42.6,38.3,27.5,0.055,19,23.8,144,23.3,6.6,-0.16,-0.006,277,261,0.15,12709,78.5,6.1,-0.022,40.2,113.8,35.6,0.939,17.4,82.7,58114,0.29,292,42.6,30182,0.03,43.5,21942,52,10004,negative
Plainfield,0.032,-0.201,6.2,169.8,,10.4,504.6,,,55.6,26,50.9,1186,2330,50.3,1.49,35,8.5,117.5,0,51.3,34.6,0,2.4,25.7,28.4,5.4,17895,-0.04,1.5,30.9,52.8,86.3,,-0.045,32.4,22.3,23,,1,1.84,-0.002,30,,0.074,,82.8,20.1,,33.3,448.2,7.4,0.91,,88.2,,,478,,473,1.01,25.7,443,45,107,negative
Plainville,0.216,-0.134,12.5,160.9,33.6,9.1,492.4,21.4,0.125,92.8,22,33.9,1465,4295,51,4.5,193,7.9,76.8,0,12,11.2,4.3,2.49,27,16.3,4.8,34299,0.1,0.2,26.6,39.1,76,14.9,0.202,29.5,30.6,157,22.9,3.7,2.96,0.007,1,185,0.054,12283,72.6,27.2,-0.035,36.8,4.8,17,0.949,6.3,93.7,65969,0.29,360,9.5,5845,0.9,21,5823,12,2503,large
Plymouth,0.152,-0.125,9.9,453.7,34.5,9.1,421,18,,85.3,39,56.8,1345,2352,50.6,6.37,150,9.2,70.8,3.5,9.3,17.3,6.1,2.55,23.7,19.6,3.2,28762,0,0.9,21.8,41.3,86.7,9.8,0.116,21.3,33.5,152,20.8,6.4,3.15,0.005,366,,0.141,13099,77.9,53.7,-0.037,41.1,4.8,15.7,0.925,,91.9,61507,0.36,375,,39277,0.7,24,37336,16,15199,medium
Plympton,0.029,-0.177,7.8,379.4,42.3,10.4,416,15.8,0.012,76.2,45,59.2,1599,2701,50.9,1.78,48,9.4,129.7,3.5,12.9,12.7,4.8,2.8,17.8,12.3,1.9,31226,-0.02,0.7,10.6,43.9,102.2,2.5,0.365,46.5,55.7,253,28.2,9.4,3.05,0.006,18,262,0.071,12783,81.3,61.3,0.061,52.5,10.6,9.7,0.944,3.5,96.5,72010,0.32,477,7,2094,0.76,16.2,1918,3,649,small
Princeton,0.023,-0.149,7,278.3,38,9.9,498.7,,0.004,58.6,47,60.2,1474,2372,49.9,2.79,66,7.1,124.1,17.6,8.2,21.2,3,2.67,14.9,25.5,6.7,47692,-0.02,0.3,23.4,44.4,106.8,,0.167,39,24.2,206,26.2,8.7,2.31,0.003,25,124,0.079,,95.6,29.3,,34.7,43.8,4.4,0.864,11.9,88.1,,,433,2.9,2737,0.86,18.3,2575,21,635,small
Provincetown,0.725,-0.125,6.1,1373.2,47.6,10.7,623.4,8,0.515,48.9,144,14.4,1058,5716,45.5,2.4,137,24.3,58.5,34,0,50.9,1.6,1.64,54.3,28.7,3.6,34764,0.08,1.4,237.9,51.8,41.4,40.9,-0.174,24.1,7.4,598,87.8,10.5,-0.22,-0.001,176,394,0.159,33811,82.2,41.5,-0.378,28.2,0,2.3,0.984,7.9,92.1,58968,0.16,515,91,2975,-0.05,57.2,2613,85,452,large
Quincy,0.435,-0.087,13.1,212.1,59.3,9.1,392.7,19.4,0.227,110.2,54,35.6,915,2565,52.1,7.7,198,26.9,29.4,11.7,1.6,42.4,7.7,2.24,37.7,15.5,6.1,27658,0.02,1.3,16.5,38.5,37.4,49.3,-0.205,9.6,34.2,238,23.1,9.3,0.1,0.007,293,167,0.051,14221,81.4,20.3,0.033,33,1,13.3,0.879,12.8,87.2,72931,0.41,237,42.8,63444,0.3,41.2,45793,35,30503,large
Randolph,0.229,-0.191,12.1,52.6,37.1,9.9,430.8,27.8,0.153,113,21,56.7,1355,2392,52,5.96,143,17.1,30.1,0.9,1.9,12.1,19.5,2.75,24.5,11,8.5,24049,-0.05,1.5,11.8,40.4,57.2,82.9,-0.202,12.8,75.7,169,18.3,7.1,2.22,0.007,58,170,0.13,15612,85.2,14.4,-0.003,38.8,0.9,20,0.814,7.6,92.4,69040,0.45,261,38.3,20295,0.16,49.9,17455,58,9252,medium
Raynham,0.12,-0.17,12,235.4,58.2,9.3,469.6,,0.077,196.4,33,54.9,1269,2264,51.3,6.63,150,10.2,86.9,0,11.3,9.6,5.9,2.71,20.6,12.1,7.4,31544,0.01,0.5,18.7,39,92.1,,0.22,26.1,53.5,273,25.3,12.1,4.52,0.001,6,251,0.09,,71.7,38.5,,43,4.5,3.2,0.919,5.5,94.5,,,378,14.1,9797,1.05,23.4,8811,1.5,3747,large
Reading,0.161,-0.025,9.5,73.2,42,8.6,441.1,20.4,0.105,90.1,78,37.1,1471,3967,51.5,3.87,154,13,34,36.4,2.8,29.5,4.2,2.64,23.5,19.5,9.6,42071,-0.12,0.3,8.9,40.7,60.5,9.6,-0.11,13.1,28.7,171,21.3,4.3,0.77,0.01,180,75,0.102,11051,89.9,15.2,0.012,43.9,1.2,14.4,0.947,7,93,64129,0.41,299,4,17583,0.27,30.6,16952,34,7351,small
Rehoboth,0.049,-0.139,6.6,212.8,39.6,10.7,472.5,,0.013,103,17,63.6,1115,1753,50,1.64,29,6.8,97.1,30.2,16.9,17,5.6,2.83,15.5,11.4,5.1,34375,-0.02,0.3,18.1,42.8,86.3,,0.437,39.1,50.5,192,22.3,11,2.14,0.001,83,155,0.136,,91.5,30.2,,39.9,6,4.9,0.878,3.9,96.1,,,428,11.9,8576,1.1,18.5,7917,-5,2969,medium
Revere,0.62,-0.207,14.6,68.4,49.8,9.4,351.3,20.1,0.185,74.4,16,53.6,1156,1855,51,6.91,128,9.5,25.3,1.5,,37.6,16.4,2.52,32,10.7,8.4,19195,0.25,1.9,13.7,38.2,35.5,59.1,-0.179,9.9,51.6,138,18.4,7.4,0.41,0.014,55,236,0.099,13277,84.6,17.1,0.102,39.2,0.2,34.5,0.946,8.3,91.7,74594,0.54,203,50.8,26298,0.12,47.8,20890,29,17705,large
Richmond,0.032,-0.04,3.4,420.3,,10.2,477.3,16.2,0.01,92.9,42,62.2,1959,2720,51.5,1.43,39,5.8,107.8,40.7,6.5,25.2,3.3,2.24,25.7,26.3,13.9,42327,-0.15,0,6.8,52.2,68.7,7.5,-0.364,14.2,10.7,2,,0.1,1,-0.006,44,,0.091,14140,94.5,12.2,-0.165,45,68.2,14.6,0.954,5.2,94.8,,0.18,404,,1167,0.19,33.5,1057,58,235,negative
Rochester,0.078,-0.115,7.6,359.3,28.5,10.9,460.4,19.1,0.033,77.8,38,62.1,2067,3221,49.6,0.88,28,8.4,154.7,3.8,2.8,10,6.4,2.88,14.9,13.1,5.7,33377,0.01,0.2,7.6,41.3,111.3,6.1,0.444,44.2,44.7,173,19,5.4,2.94,0.006,44,117,0.248,12270,86.9,48.5,-0.121,42.8,13.3,11.7,0.954,9.6,90.4,77806,0.31,462,11.3,4065,1.31,19.3,3833,-6,1249,medium
Rockland,0.277,-0.159,12.9,138.9,,10,422.4,19.3,0.153,81.7,32,48.2,1192,2391,52.2,6.01,144,21,56.1,4,5.4,31.9,7.7,2.58,26.6,12.3,7.4,24654,0.01,1.3,17.2,40.3,60.6,16.8,0.054,22.4,43.8,170,23.3,7.1,0.95,0.005,25,,0.381,13081,79,25.5,-0.074,39,5.7,24.8,0.841,8.6,91.4,73421,0.3,361,,12505,0.57,27.1,9994,11,4631,small
Rockport,0.247,-0.095,5.5,620,8.6,9.5,474.5,14.7,0.121,29.6,78,44,1456,2931,53.9,1.23,36,21.6,61.9,14.4,8.3,50.3,2.1,2.14,36.5,22.9,7.5,37199,-0.03,0.7,12.9,51.8,50.7,6.6,-0.097,21.4,22.4,187,21.4,6.4,0.64,0.008,123,21,0.196,15484,93.4,53.9,-0.072,46.1,0,8.7,0.942,6.8,93.2,72438,0.23,349,4.2,5789,0.29,24.7,5275,48,1145,small
Rowe,0.005,0.063,7.6,356.2,,11.7,427.5,,0,30.5,581,41,3341,7625,52.2,1.37,105,15,121.8,0,0,38.4,4.4,2.35,26.3,33.1,10.1,31529,-0.05,2.5,,56.7,74.3,8.8,0.75,53.4,12,69,,0.9,0.97,0.003,1,,0.469,,19,17.8,-0.094,45.5,888.3,4.4,0.969,3.2,96.8,60796,0.24,499,,290,0.17,21.6,267,15,47,medium
Rowley,0.131,-0.115,8.4,618.2,11.9,10.1,448.8,,0.071,74.6,40,54.4,1351,2475,50.5,2.73,68,5.4,86.9,6.8,14.4,14.9,3.6,2.69,18.6,16.3,5.5,37557,0.01,0.2,18.8,45.7,88.3,,0.084,33,28.3,220,22.1,8.9,2.31,0.008,42,29,0.132,,84.6,46.3,,37.7,0,3.4,0.931,3.9,96.1,,,431,6.7,4533,1.08,17.9,4227,6,1441,medium
Royalston,0.026,-0.023,9.5,286.2,,11.4,445.9,,,15.9,40,33.8,448,1207,50.2,3.71,45,7.4,198.1,7.9,0,35.8,3.5,2.53,26.1,20.4,4.3,22745,0.21,0.8,23.8,46,91.4,,0.696,62,34.1,56,7.9,4.7,0.5,0.003,10,,0.068,,95,34.2,,31.5,420,11.1,1,,85.3,,,493,,877,0.48,16.5,787,6,270,negative
Russell,0.076,-0.064,13.5,445.1,,11.4,354.9,,0,110.4,29,62.5,1110,1776,50.8,2.96,53,6.5,159.9,5.6,90.1,25.5,5.7,2.7,16.3,7.1,7.5,23800,-0.01,0,22.5,38.7,76.1,,0.587,41.1,36.6,17,,1,0.37,0.001,,,0.073,,87.8,25.9,,29,281.5,7.9,0.857,8.6,91.5,,,436,,1023,0.27,19,919,-16,490,negative
Rutland,0.113,-0.153,11,299.8,60,9,400.9,,0.063,54.7,23,54.7,1046,1891,50.5,1.24,24,6.2,104.7,1.3,9.6,13.7,4.7,2.85,19.1,16.3,3.2,30925,0.08,0.4,12.5,39.4,98.7,,0.127,24.5,36.5,83,11.2,4.4,1.61,0.004,18,76,0.177,,94.8,28.2,,34.1,142.5,9.9,0.953,11.2,88.8,,,384,23.5,5856,1.71,20.8,5675,3,2298,large
Salem,0.571,-0.122,11.6,302.9,41.5,9.8,408.6,8.6,0.311,120.9,55,44.6,1215,2671,53.5,6.4,171,19.4,32,11.4,4.4,56.9,13.3,2.22,35.3,14.9,6.3,25294,0.01,1.7,21,37,36.3,47.8,-0.044,14.8,30.5,189,21.9,7.1,-0.01,0.008,244,227,0.113,14706,82.2,21,-0.012,29.7,0.2,21.4,0.931,14.1,85.9,68846,0.36,237,37.8,28481,0.28,39,24018,52,11284,medium
Salisbury,0.319,-0.092,8.8,464.8,64.7,10.3,467.1,,0.151,125.4,21,50.8,1162,2201,51.6,5.93,131,11.2,68.3,1.2,15.7,19.4,3.7,2.39,29.9,15.1,5.6,24381,0.06,1.6,39.8,45.6,72.3,,-0.042,32.7,44.2,224,21.6,10.2,2.07,0.008,25,268,0.141,,80.9,37.1,,37.2,2.4,3.9,0.964,5.9,94.1,,,383,42.7,5976,0.71,24.2,5556,4,1928,large
Sandisfield,0.005,-0.16,5.5,306,,12,425.1,,0,66.7,28,51.9,1398,2693,46.4,2.31,62,6.8,152.7,32.8,60,23.9,1.5,2.28,28.1,19,7,16435,-0.1,0,54.6,46.9,77.8,,0.409,33.9,39.8,51,,1.9,1.09,-0.005,20,,0.181,,90,16.4,,41.5,296.7,3.3,0.94,6.6,93.4,,,477,,615,0.45,35.6,515,21,178,medium
Sandwich,0.061,-0.154,7,464.3,28.6,9.5,435.1,18.7,0.045,80.3,58,46.7,1452,3065,51.8,6.17,189,19.3,69.7,3.9,9.8,6.8,3.9,2.61,21.3,25.6,0.8,31582,-0.05,0.5,19.8,43.5,83,3.8,0.322,19.1,26.9,164,16.8,5.4,7.55,-0.001,84,152,0.131,12087,86.9,54.2,-0.126,44.8,2.4,14.6,0.92,10.4,89.6,64939,0.21,411,18.7,15659,1.68,21.3,14061,12,4119,negative
Saugus,0.173,-0.104,9.5,113,64.8,9.4,451.8,19.8,0.082,118.5,30,42.6,1081,2415,52.4,5.42,131,22.5,54.9,1.9,5.2,32.6,6.8,2.55,25.8,12.1,10.6,28050,0.03,1.4,16.5,42.8,53,19.1,0.022,22.9,50.6,185,26.1,7.7,0.55,0.008,87,294,0.102,12690,78.3,22.3,-0.026,45.2,0.4,10,0.845,6.8,93.2,65695,0.4,324,31,18024,0.14,33.3,15797,3,7071,medium
Savoy,0.012,-0.115,10.1,549.1,,10.2,380.1,5.7,0,91,3,51.2,1304,2150,49.3,0.79,17,7.2,197.7,14.5,74.8,26.3,11.2,2.32,28.2,9.4,6.3,21451,0.09,2.9,43.4,42.9,75.9,9.6,0.235,60.7,13.4,9,,0.4,1.38,-0.006,7,,0.042,13384,92.6,7.2,-0.226,36.9,1424.4,36.8,0.907,14.6,85.4,44898,0.32,533,,462,0.76,17.5,399,16,113,negative
Scituate,0.089,-0.111,7.7,937,28,9.5,413.3,18.9,0.058,21.6,56,54.2,1614,2951,52.1,7.7,227,16.4,54.2,3.9,,27.7,4,2.62,24.4,19.8,8.5,45176,-0.03,0.3,14.9,44.7,69.5,5.4,-0.077,13.8,30.9,182,17,6.2,2.03,0.006,141,116,0.169,12311,95.5,39.8,-0.006,48.8,4.4,9.1,,6.1,93.9,74936,0.31,384,12.5,13780,0.15,26.3,13530,30,3547,medium
Seekonk,0.036,-0.149,7.1,124.6,33.5,10.4,534.4,20.1,0.008,227.2,59,48.8,1436,2909,51.5,4.45,130,19.6,46.9,1.5,8.7,13,6.4,2.71,17.7,9.5,11.9,31649,-0.04,0.1,30.6,42.9,66.9,8.4,0.382,28.2,42.4,208,26.1,7.2,1.25,0.001,46,288,0.125,11898,75.1,21.8,-0.034,44.9,3.6,14.8,0.902,5,95,71023,0.32,395,24.5,9638,0.38,22.1,8955,9,3465,large
Sharon,0.081,-0.051,7.1,103.9,33.3,8,474.1,18.1,0.055,86.3,60,59.3,2056,3386,51.8,4.08,138,6.4,29.3,2.8,3.2,13.2,6,2.82,16.1,28.3,7.3,55268,-0.02,0.3,6.2,42.5,73.3,32.8,-0.072,10.9,29.9,180,19.8,5.3,2.63,0.007,142,61,0.096,14527,92.1,14,0.011,46.4,1.1,13.6,0.839,9.2,90.8,69283,0.39,293,8.4,12799,0.53,33.3,11617,53,4638,medium
